,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
931,Weekly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Excited,Stay silent,Selfishness,0.0
932,Monthly,Both,Support,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
933,Monthly,Both,Loyalty,Avoid conflict,No,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
934,Weekly,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Nervous,Stay silent,Selfishness,0.0
935,Monthly,Small gatherings,Support,Avoid conflict,No,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
936,Weekly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
937,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Talk openly,Unnecessary criticism,0.0
938,Weekly,Both,Loyalty,Apologize first,No,Talking to someone,Not sure,Avoid it,Express emotion strongly,Being interrupted,0.0
939,Monthly,Large events,Loyalty,Talk it out,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
940,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Introvert,Nervous,Stay silent,Unnecessary criticism,0.0
941,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
942,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
943,Weekly,Large events,Honesty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
944,Weekly,Both,Loyalty,Apologize first,No,Alone time,Ambivert,Nervous,Express emotion strongly,Being interrupted,1.0
945,Monthly,Small gatherings,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
946,Monthly,Both,Support,Apologize first,No,Social media,Not sure,Neutral,Stay silent,Unnecessary criticism,1.0
947,Monthly,Large events,Loyalty,Talk it out,No,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
948,Weekly,Large events,Loyalty,Talk it out,No,Social media,Extrovert,Avoid it,Stay silent,Unnecessary criticism,0.0
949,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
950,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
951,Daily,Both,Loyalty,Talk it out,No,Alone time,Introvert,Excited,Stay silent,Selfishness,0.0
952,Monthly,Both,Loyalty,Talk it out,No,Social media,Introvert,Neutral,Stay silent,Selfishness,0.0
953,Daily,Large events,Honesty,Avoid conflict,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
954,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
955,Weekly,Both,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
956,Weekly,Both,Honesty,Avoid conflict,Yes,Social media,Introvert,Neutral,Stay silent,Unnecessary criticism,1.0
957,Monthly,Never,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
958,Weekly,Large events,Loyalty,Talk it out,Yes,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
959,Weekly,Large events,Honesty,Talk it out,No,Alone time,Extrovert,Nervous,Talk openly,Selfishness,1.0
960,Monthly,Never,Honesty,Talk it out,Sometimes,None of the above,Ambivert,Nervous,"Stay silent, Express emotion strongly",Unnecessary criticism,1.0
961,Weekly,Large events,Loyalty,Avoid conflict,Yes,Alone time,Introvert,Nervous,Stay silent,Selfishness,0.0
962,Never,Large events,Loyalty,Apologize first,Yes,Talking to someone,Extrovert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
963,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,0.0
964,Never,Small gatherings,Loyalty,Avoid conflict,Sometimes,None of the above,Introvert,Nervous,"Stay silent, Express emotion strongly, Other",Being interrupted,0.0
965,Weekly,Large events,Loyalty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
966,Monthly,Large events,Honesty,Apologize first,Yes,Talking to someone,Ambivert,Nervous,"Stay silent, Express emotion strongly",Selfishness,0.0
967,Daily,Both,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
968,Monthly,Large events,Honesty,Let time fix it,Sometimes,Alone time,Extrovert,Excited,"Stay silent, Express emotion strongly",Unnecessary criticism,0.0
969,Weekly,Small gatherings,Honesty,Avoid conflict,Yes,Alone time,Ambivert,Nervous,Talk openly,Selfishness,1.0
970,Weekly,Never,Honesty,Apologize first,No,Social media,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
971,Weekly,Both,Loyalty,Talk it out,No,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
972,Never,Large events,Honesty,Let time fix it,No,Social media,Introvert,Neutral,Talk openly,Unnecessary criticism,0.0
973,Monthly,Both,Honesty,Apologize first,Yes,Social media,Extrovert,Excited,Talk openly,Selfishness,0.0
974,Monthly,Never,Honesty,Avoid conflict,No,Talking to someone,Introvert,Nervous,"Talk openly, Stay silent",Selfishness,0.0
975,Weekly,Both,Loyalty,Avoid conflict,No,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,1.0
976,Never,Both,Honesty,Apologize first,Never,Talking to someone,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
977,Weekly,Large events,Honesty,Talk it out,Yes,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
978,Monthly,Large events,Honesty,Avoid conflict,No,Alone time,Extrovert,Excited,Talk openly,Selfishness,1.0
979,Monthly,Never,Loyalty,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
980,Weekly,Both,Loyalty,Avoid conflict,No,Alone time,Ambivert,Excited,"Stay silent, Express emotion strongly",Unnecessary criticism,0.0
981,Weekly,Both,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Nervous,Talk openly,Unnecessary criticism,1.0
982,Monthly,Small gatherings,Loyalty,Talk it out,No,Social media,Introvert,Nervous,Talk openly,Unnecessary criticism,0.0
983,Monthly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
984,Weekly,Never,Loyalty,Let time fix it,No,Social media,Introvert,Neutral,Stay silent,Unnecessary criticism,1.0
985,Monthly,Both,Loyalty,Avoid conflict,No,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
986,Monthly,Large events,Loyalty,Avoid conflict,Yes,Social media,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
987,Never,Small gatherings,Support,Apologize first,No,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
988,Weekly,Both,Loyalty,Talk it out,No,Social media,Ambivert,Excited,Talk openly,Unnecessary criticism,1.0
989,Never,Small gatherings,Loyalty,Talk it out,No,Talking to someone,Extrovert,Neutral,"Stay silent, Express emotion strongly",Injustice,0.0
990,Weekly,Large events,Loyalty,Avoid conflict,No,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
991,Weekly,Both,Loyalty,Avoid conflict,Yes,Social media,Introvert,Excited,Stay silent,Selfishness,0.0
992,Monthly,Small gatherings,Support,Talk it out,No,Alone time,Not sure,Nervous,Talk openly,Unnecessary criticism,1.0
993,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Alone time,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
994,Weekly,Small gatherings,Support,Apologize first,No,Talking to someone,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
995,Weekly,Both,Loyalty,Avoid conflict,Yes,Alone time,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
996,Monthly,Both,Loyalty,Avoid conflict,Yes,Talking to someone,Ambivert,Excited,Express emotion strongly,Being interrupted,1.0
997,Weekly,Large events,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Talk openly,Unnecessary criticism,0.0
998,Weekly,Large events,Loyalty,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Selfishness,1.0
999,Never,Small gatherings,Honesty,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Stay silent,Unnecessary criticism,1.0
1000,Weekly,Both,Loyalty,Apologize first,No,Social media,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
1001,Weekly,Both,Honesty,Apologize first,Yes,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
1002,Daily,Both,Support,Let time fix it,No,Alone time,Ambivert,Neutral,"Stay silent, Express emotion strongly, Other",Injustice,0.0
1003,Weekly,Large events,Loyalty,Let time fix it,Yes,Alone time,Extrovert,Nervous,Other,Injustice,0.0
1004,Never,Large events,Honesty,Talk it out,Sometimes,None of the above,Extrovert,Neutral,"Express emotion strongly, Other",Unnecessary criticism,0.0
1005,Weekly,Both,Loyalty,Avoid conflict,Yes,Alone time,Not sure,Nervous,Talk openly,Selfishness,1.0
1006,Daily,Large events,Loyalty,Talk it out,Never,Social media,Ambivert,Avoid it,Other,Being interrupted,0.0
1007,Monthly,Large events,Support,Avoid conflict,Sometimes,Alone time,Introvert,Nervous,Stay silent,Unnecessary criticism,0.0
1008,Monthly,Large events,Support,Avoid conflict,Yes,Talking to someone,Extrovert,Nervous,"Stay silent, Other",Unnecessary criticism,0.0
1009,Daily,Large events,Support,Avoid conflict,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
1010,Weekly,Both,Honesty,Apologize first,No,Social media,Introvert,Nervous,"Talk openly, Stay silent",Unnecessary criticism,0.0
1011,Daily,Small gatherings,Honesty,Avoid conflict,No,Social media,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
1012,Never,Large events,Honesty,Talk it out,yes,None of the above,Introvert,Excited,Talk openly,Being interrupted,0.0
